from	to	kind
W0.0	W0.1	dep
W0.0	W0.7	dep
W0.0	W0.8	dep
W0.0	W0.3	dep
W0.0	W0.4	dep
W0.0	W0.5	dep
W0.0	W0.6	dep
W0.0	W0.9	dep
W0.0	W0.10	dep
W0.1	W0.2	dep
W0.7	J0	dep
W0.8	J0	dep
W0.2	J0	dep
W0.3	J0	dep
W0.4	J0	dep
W0.5	J0	dep
W0.6	J0	dep
W0.9	J0	dep
W0.10	J0	dep
J0	W1.I.0	dep
W1.I.0	W1.I.1	dep
W1.I.1	W1.I.2	dep
W1.I.0	W1.C.0	dep
W1.I.1	W1.C.1	dep
W1.I.2	W1.C.2	dep
W1.C.0	W1.J.0	dep
W1.C.1	W1.J.1	dep
W1.C.2	W1.J.1	dep
W1.J.0	J1	dep
W1.J.1	J1	dep
J0	W2.S.openai-agents-guardrails.0	dep
W0.7	W2.S.openai-agents-guardrails.0	dep
J0	W2.S.openai-agents-guardrails.1	dep
W0.7	W2.S.openai-agents-guardrails.1	dep
J0	W2.S.openai-agent-evals.0	dep
W0.7	W2.S.openai-agent-evals.0	dep
J0	W2.S.openai-citation-formatting.0	dep
W0.7	W2.S.openai-citation-formatting.0	dep
J0	W2.S.openai-eval-best-practices.0	dep
W0.7	W2.S.openai-eval-best-practices.0	dep
J0	W2.S.openai-retrieval.0	dep
W0.7	W2.S.openai-retrieval.0	dep
J0	W2.S.anthropic-citations.0	dep
W0.7	W2.S.anthropic-citations.0	dep
J0	W2.S.anthropic-tool-use-refresh.0	dep
W0.7	W2.S.anthropic-tool-use-refresh.0	dep
J0	W2.S.gemini-grounding.0	dep
W0.7	W2.S.gemini-grounding.0	dep
J0	W2.S.gemini-prompting-mm.0	dep
W0.7	W2.S.gemini-prompting-mm.0	dep
J0	W2.S.owasp-agent-security.0	dep
W0.7	W2.S.owasp-agent-security.0	dep
W2.S.openai-agents-guardrails.0	W2.A.openai-agents-guardrails	dep
W2.S.openai-agents-guardrails.1	W2.A.openai-agents-guardrails	dep
W2.S.openai-agent-evals.0	W2.A.openai-agent-evals	dep
W2.S.openai-citation-formatting.0	W2.A.openai-citation-formatting	dep
W2.S.openai-eval-best-practices.0	W2.A.openai-eval-best-practices	dep
W2.S.openai-retrieval.0	W2.A.openai-retrieval	dep
W2.S.anthropic-citations.0	W2.A.anthropic-citations	dep
W2.S.anthropic-tool-use-refresh.0	W2.A.anthropic-tool-use-refresh	dep
W2.S.gemini-grounding.0	W2.A.gemini-grounding	dep
W2.S.gemini-prompting-mm.0	W2.A.gemini-prompting-mm	dep
W2.S.owasp-agent-security.0	W2.A.owasp-agent-security	dep
W2.A.gemini-grounding	W2.M.B1	dep
W2.A.owasp-agent-security	W2.M.B1	dep
W2.A.gemini-prompting-mm	W2.M.B2	dep
W2.A.anthropic-citations	W2.M.B3B4	dep
W2.A.anthropic-tool-use-refresh	W2.M.B3B4	dep
W2.A.openai-agents-guardrails	W2.M.A	dep
W2.A.openai-agent-evals	W2.M.A	dep
W2.A.openai-citation-formatting	W2.M.A	dep
W2.A.openai-eval-best-practices	W2.M.A	dep
W2.A.openai-retrieval	W2.M.A	dep
J0	W2.N.llms-index	dep
J0	W2.N.openai-agents-guardrails	dep
J0	W2.N.openai-agent-evals	dep
J0	W2.N.openai-eval-best	dep
J0	W2.N.openai-retrieval	dep
J0	W2.N.openai-citations	dep
W2.A.openai-agents-guardrails	W2.G.boilerplate_zero	dep
W2.A.openai-agent-evals	W2.G.boilerplate_zero	dep
W2.A.openai-citation-formatting	W2.G.boilerplate_zero	dep
W2.A.openai-eval-best-practices	W2.G.boilerplate_zero	dep
W2.A.openai-retrieval	W2.G.boilerplate_zero	dep
W2.A.anthropic-citations	W2.G.boilerplate_zero	dep
W2.A.anthropic-tool-use-refresh	W2.G.boilerplate_zero	dep
W2.A.gemini-grounding	W2.G.boilerplate_zero	dep
W2.A.gemini-prompting-mm	W2.G.boilerplate_zero	dep
W2.A.owasp-agent-security	W2.G.boilerplate_zero	dep
W2.M.B1	W2.G.boilerplate_zero	dep
W2.M.B2	W2.G.boilerplate_zero	dep
W2.M.B3B4	W2.G.boilerplate_zero	dep
W2.M.A	W2.G.boilerplate_zero	dep
W2.A.openai-agents-guardrails	W2.G.quote_provenance	dep
W2.A.openai-agent-evals	W2.G.quote_provenance	dep
W2.A.openai-citation-formatting	W2.G.quote_provenance	dep
W2.A.openai-eval-best-practices	W2.G.quote_provenance	dep
W2.A.openai-retrieval	W2.G.quote_provenance	dep
W2.A.anthropic-citations	W2.G.quote_provenance	dep
W2.A.anthropic-tool-use-refresh	W2.G.quote_provenance	dep
