from	to
W0-00	W0-11
W0-01	W0-11
W0-02	W0-11
W0-03	W0-11
W0-04	W0-11
W0-05	W0-11
W0-06	W0-11
W0-07	W0-11
W0-08	W0-11
W0-09	W0-11
W0-10	W0-11
W0-11	WA-JOIN
W0-11	WA-PERF-shell-fields
WA-PERF-shell-fields	WA-JOIN
W0-11	WA-PERF-split-designs
WA-PERF-split-designs	WA-JOIN
W0-11	WA-PERF-vite-preload
WA-PERF-vite-preload	WA-JOIN
W0-11	WA-PERF-consumer-map
WA-PERF-consumer-map	WA-JOIN
W0-11	WA-PERF-test-compat
WA-PERF-test-compat	WA-JOIN
W0-11	WA-PERF-budget2
WA-PERF-budget2	WA-JOIN
W0-11	WA-SHIP-atomic
WA-SHIP-atomic	WA-JOIN
W0-11	WA-SHIP-fence
WA-SHIP-fence	WA-JOIN
W0-11	WA-DOC-design-drift
WA-DOC-design-drift	WA-JOIN
W0-11	WA-DOC-agents-policy
WA-DOC-agents-policy	WA-JOIN
W0-11	WA-SMOKE-timeout
WA-SMOKE-timeout	WA-JOIN
W0-11	WA-SMOKE-lazy
WA-SMOKE-lazy	WA-JOIN
W0-11	WA-LINT-tests
WA-LINT-tests	WA-JOIN
W0-11	WA-A11Y-axe
WA-A11Y-axe	WA-JOIN
W0-11	WA-IDLE-policy
WA-IDLE-policy	WA-JOIN
W0-11	WA-GOAL-package
WA-GOAL-package	WA-JOIN
W0-11	WA-RISK-react-split
WA-RISK-react-split	WA-JOIN
WA-JOIN	WB-SHIP-01
WA-JOIN	WB-SHIP-04
WA-JOIN	WB-SHIP-05
WB-SHIP-01	WB-SHIP-02
WB-SHIP-02	WB-SHIP-03
WB-SHIP-03	WB-SHIP-06
WB-SHIP-04	WB-SHIP-06
WB-SHIP-05	WB-SHIP-06
WB-SHIP-06	WB-SHIP-DONE
WA-JOIN	WB-PCAT2-01
WB-SHIP-DONE	WB-PCAT2-01
WB-PCAT2-01	WB-PCAT2-02
WB-PCAT2-02	WB-PCAT2-03
